player_id,level,deaths,accuracy,avg_reaction_time_ms,completion_time_sec,score,difficulty_level,timestamp
p_100,1,3,0.0,1861.9,11.07,664,0.1678,2026-05-26T08:08:34.134067
p_100,1,3,0.0,1728.0,6.21,372,0.1834,2026-05-26T08:18:59.727533
p_100,1,3,0.0,1735.2,12.35,741,0.2154,2026-05-26T08:30:34.370369
p_100,1,3,0.0,1682.3,16.01,960,0.2539,2026-05-26T08:49:20.408772
p_100,1,3,0.0,1758.1,23.1,1386,0.2856,2026-05-26T08:57:27.537597
p_100,1,3,0.0,1780.5,27.57,1654,0.3436,2026-05-26T09:02:51.451542
p_100,1,3,0.0,1615.7,25.31,1518,0.4135,2026-05-26T09:10:56.940124
p_100,1,3,0.0,1639.9,24.02,1441,0.4602,2026-05-26T09:20:45.739890
p_100,1,3,0.0,1614.3,30.5,1830,0.5107,2026-05-26T09:35:02.891532
p_100,1,3,0.0,1585.8,23.23,1393,0.5365,2026-05-26T09:49:12.036915
p_100,1,3,0.0,1631.6,31.87,1912,0.5705,2026-05-26T10:08:18.361831
p_100,1,3,0.0,1615.1,33.04,1982,0.5922,2026-05-26T10:14:29.890021
p_100,1,3,0.0,1552.9,26.13,1567,0.6109,2026-05-26T10:22:06.366032
p_100,1,3,0.0,1616.4,35.07,2104,0.6234,2026-05-26T10:37:37.974672
p_100,1,3,0.0,1625.0,34.53,2071,0.6491,2026-05-26T10:52:03.330534
p_100,1,3,0.0,1578.3,31.05,1862,0.6547,2026-05-26T10:59:45.040460
p_100,1,3,0.0,1682.8,28.69,1721,0.6325,2026-05-26T11:17:33.359652
p_100,1,3,0.0,1578.2,24.2,1452,0.6234,2026-05-26T11:28:29.343651
p_100,1,3,0.0,1499.0,30.69,1841,0.6285,2026-05-26T11:42:59.368178
p_100,1,3,0.0,1477.9,32.84,1970,0.6456,2026-05-26T11:59:57.004380
p_100,1,3,0.0,1456.0,37.71,2262,0.6822,2026-05-26T12:12:35.670323
p_100,1,3,0.0,1555.3,36.26,2175,0.7222,2026-05-26T12:21:39.742163
p_100,1,3,0.0,1505.2,29.27,1756,0.7471,2026-05-26T12:34:23.276427
p_100,1,3,0.0,1580.3,39.25,2355,0.759,2026-05-26T12:46:24.350586
p_100,1,3,0.0,1552.9,39.33,2359,0.766,2026-05-26T12:53:14.722428
p_100,1,3,0.0,1589.2,40.21,2412,0.7533,2026-05-26T13:09:59.332275
p_100,1,3,0.0,1550.0,40.15,2409,0.7649,2026-05-26T13:26:55.588566
p_100,1,3,0.0,1460.6,33.46,2007,0.7832,2026-05-26T13:39:26.564684
p_100,1,3,0.0,1604.4,42.05,2522,0.7875,2026-05-26T13:57:14.007870
p_100,1,3,0.0,1463.5,37.69,2261,0.7961,2026-05-26T14:11:28.319863
p_101,1,3,0.0,1581.1,29.49,1769,0.1834,2026-05-26T10:06:24.337661
p_101,1,3,0.0,1548.4,22.69,1361,0.1664,2026-05-26T10:13:19.441340
p_101,1,3,0.0,1557.4,33.89,2033,0.1932,2026-05-26T10:25:03.956493
p_101,1,3,0.0,1602.1,30.44,1826,0.1881,2026-05-26T10:35:06.974507
